title,nrec,author,date,link
[新聞] 葉總「一個靈感」換林智勝代打　見證300,16,sukiyasuica,4/16,https://www.ptt.cc/bbs/Baseball/M.1681642399.A.5FA.html
[討論] 下一個可能300轟的打者？,99,abc5588646,4/16,https://www.ptt.cc/bbs/Baseball/M.1681642582.A.28D.html
[情報] cpbl二軍戰績,19,hanksadder,4/16,https://www.ptt.cc/bbs/Baseball/M.1681643059.A.76C.html
[分享] cpbl各項數據排行(~2023/4/16),74,walter921,4/16,https://www.ptt.cc/bbs/Baseball/M.1681643198.A.73A.html
[分享] npb 日職各隊主場平均人數,7,AisinGioro,4/16,https://www.ptt.cc/bbs/Baseball/M.1681644131.A.D9A.html
[問題] 韓職 花式失誤跑者偷笑，球迷嫌球衣太醜,22,ReiKuromiya,4/16,https://www.ptt.cc/bbs/Baseball/M.1681644857.A.A97.html
[分享] 中職目前ops+前十打者(~4/16),92,ericisfish,4/16,https://www.ptt.cc/bbs/Baseball/M.1681645573.A.0F1.html
[討論] 中職現在守備第二強的游擊手是誰,19,Xinpeicity,4/16,https://www.ptt.cc/bbs/Baseball/M.1681645873.A.00B.html
[新聞] 余謙5局丟5分寫生涯單場最多失分　至今,34,iamshana,4/16,https://www.ptt.cc/bbs/Baseball/M.1681645944.A.BB4.html
[討論] 龍喵的八奇思考?,55,wiwi0526,4/16,https://www.ptt.cc/bbs/Baseball/M.1681646200.A.AC0.html
[新聞] 「這幾年發生滿多事」林智勝謝謝兄弟、辜,25,sharkpops,4/16,https://www.ptt.cc/bbs/Baseball/M.1681646230.A.FBD.html
[情報] 林智勝300轟紀念商品預購資訊,92,allenchen98,4/16,https://www.ptt.cc/bbs/Baseball/M.1681647593.A.47C.html
[新聞] 單場mvp被范國宸攔截 申皓瑋：他實至名歸,4,hvariables,4/16,https://www.ptt.cc/bbs/Baseball/M.1681648488.A.592.html
[討論] 為何只挑郭嚴文出來罵,37,macassans,4/16,https://www.ptt.cc/bbs/Baseball/M.1681648651.A.AF1.html
[討論] 下一個可能300轟的打者？,49,winogu,4/16,https://www.ptt.cc/bbs/Baseball/M.1681649138.A.B55.html
[分享] 韓職4/16結果,1,FSHAY,4/16,https://www.ptt.cc/bbs/Baseball/M.1681649523.A.7DE.html
[新聞] 知道壘上無人打較好…范國宸領悍將放鬆,5,iamshana,4/16,https://www.ptt.cc/bbs/Baseball/M.1681649731.A.9ED.html
[分享] 味全龍_林智勝300轟全紀錄！,爆,jameshu1995,4/16,https://www.ptt.cc/bbs/Baseball/M.1681649892.A.8E0.html
