title,board
"新聞,葉總,靈感,林智勝,代打,見證,300",Baseball
"討論,可能,300,打者",Baseball
"情報, cpbl,二軍,戰績",Baseball
"分享, cpbl,數據,排行,~2023/4,/16",Baseball
"分享, npb ,日職,主場,平均,人數",Baseball
"問題,韓職, 花式,失誤,跑者,偷笑,球迷,球衣",Baseball
"分享,中職,目前,ops+,打者,~4/16",Baseball
"討論,中職,現在,守備,第二,游擊手",Baseball
"新聞,余謙,生涯,單場,最多,失分,至今",Baseball
"討論,龍喵,奇思考",Baseball
"新聞,發生,林智勝,謝謝,兄弟",Baseball
"情報,林智勝,300,紀念,商品,預購,資訊",Baseball
"新聞,單場,mvp,范國宸,攔截, 申皓瑋,實至名歸",Baseball
"討論,為何,郭嚴文,出來",Baseball
"討論,可能,300,打者",Baseball
"分享,韓職,4/16,結果",Baseball
"新聞,知道,范國宸,悍將,放鬆",Baseball
"分享,味全龍,林智勝,300,轟全,紀錄",Baseball
"公告, baseball,板 ,開始,舉辦,樂透",Baseball
"釣卡好,對決,最多,打數,林智勝,開轟,投手",Baseball
"求助,分手,朋友,個性,極端",Boy-Girl
"求助,] ,教授,騷擾,學生",Boy-Girl
"求助,留下,放手",Boy-Girl
"求助,女友,相信,友誼,...",Boy-Girl
"討論,到底,問題",Boy-Girl
"討論,到底,問題",Boy-Girl
"討論,分手,實話",Boy-Girl
"求助,女友,相信,友誼,...",Boy-Girl
"討論,分手,到底,能不能,朋友",Boy-Girl
"求助,男友,姊姊,感情,...",Boy-Girl
"心情,婚後,金錢,管理",Boy-Girl
"心情,婚後,金錢,管理",Boy-Girl
"求助,分手,朋友,個性,極端",Boy-Girl
"心情,中毒,朋友,如何,= ",Boy-Girl
"求助,女友,相信,友誼,...",Boy-Girl
"求助,女友,復合,這麼",Boy-Girl
"求助,女友,相信,友誼,...",Boy-Girl
"討論,另一半,自己,心態,怎麼,調適",Boy-Girl
"討論,到底,問題",Boy-Girl
"求助,女友,相信,友誼,...",Boy-Girl
"討論,絕區零,美術, 米哈,遊想,品牌,定位",C_Chat
"閒聊,龍湘,什麼",C_Chat
"閒聊,希特勒,當上,元首,過程",C_Chat
"閒聊,算計",C_Chat
"閒聊,陽奈寶",C_Chat
"閒聊,吉伊卡哇, 拉麵, 豚,渋谷,parco,期間,限定",C_Chat
"檔案,陽奈,3.5",C_Chat
"活俠,安全",C_Chat
"閒聊,孤獨,搖滾,總集篇,心得",C_Chat
"閒聊,水母,花音,真晝,聯名,耳機",C_Chat
"閒聊,笹森,トモエ,魅魔,同居,生活,10",C_Chat
"討論,東離劍遊紀,桃園,電影節,世界,首映",C_Chat
"檔案,消災",C_Chat
"閒聊,闖蕩,異世界,手機",C_Chat
"鐵道,雲璃,角色,預告,誤打誤撞",C_Chat
"討論,妖怪,少女,不要,戰鬥,比較",C_Chat
"問題,為何,沒有,先進,單兵,武器",C_Chat
"問題,棕色,塵埃,肥貓",C_Chat
"閒聊,水母,花音,真晝,聯名,耳機",C_Chat
"俄語,] ,所以,男主,有希,壓床,反應",C_Chat
"黑特,塔綠班,奮鬥,動容",HatePolitics
"新聞,勞發署,職員,霸凌,輕生,死者,母親",HatePolitics
"黑特,民進黨,執政,爛尾化",HatePolitics
"討論,霸凌,發生,新北巿",HatePolitics
"討論,勞動部,粽子,拉出來",HatePolitics
"討論,政府,風向,低調,高調,什麼,下場",HatePolitics
"討論,霸凌,導致,自殺,什麼,多久",HatePolitics
"新聞,謝宜容,菊系,人馬,許銘春,否認,當時",HatePolitics
"討論,立委,霸凌,官員",HatePolitics
"討論,怎麼,起來,謝宜容,黃國昌",HatePolitics
"討論,陳菊,許銘春",HatePolitics
"討論,霸凌,壓不住,爆開,多點,開花",HatePolitics
"新聞,總統,出訪,太平洋,友邦,總統府,10,開記",HatePolitics
"討論,所以,沈柏洋,負責,委員",HatePolitics
"討論,適當,追究,官員,責任,切莫,過分,霸凌,謝女",HatePolitics
"討論, 2018,許銘春,特別,點名,擔任,秘書",HatePolitics
"新聞,勞動部,霸凌案,藍委,聽證會,調查",HatePolitics
"討論,勞動部,霸凌,事件,身邊,看法",HatePolitics
"轉錄,王乃伃,免費,東京,迪士尼,餐廳",HatePolitics
"討論,綠畜,定調,黃國昌,姑息",HatePolitics
"情報,全聯,line,好友,折價券,30",Lifeismoney
"新聞,六福村,回饋,鄉親,假日,199,入園",Lifeismoney
"情報, yahoo ,年菜,105,折價",Lifeismoney
"情報,加入,萬能,媽咪,line@,購禮,兌換,序號",Lifeismoney
"情報,加入,萬能,媽咪,line@,購禮,兌換,序號",Lifeismoney
"情報,北投,vivendo,沙發,特賣",Lifeismoney
"情報,全家,一塊,草莓,聖代,半價,12/31,開始",Lifeismoney
"情報,過年,零嘴,紅豆,食府,娃娃酥",Lifeismoney
"省錢,實惠點,光明燈,服務,廟宇",Lifeismoney
"問卷,線上,加價,行為,問卷,300,p&,超商,禮券",Lifeismoney
"情報,下載,樂搜,app,樂天點數",Lifeismoney
"情報, openpoint,點數,100,點換,50,蝦皮,滿額,購物金",Lifeismoney
"資訊,] ,免費,運動,課程,歡迎,試聽",Lifeismoney
"情報,中華,電信,歡樂點,/hg,openpoint,3000",Lifeismoney
"省錢,五月,花 ,柔韌,抽取,衛生紙",Lifeismoney
"情報,博客,2016,黃金月,1/6,~7,結帳,千88",Lifeismoney
"情報,補體素,特價,原味,66",Lifeismoney
"情報,全聯,六日,悠遊卡,消費滿,388,30,福利點",Lifeismoney
"情報, line,免費,代幣, 5, + 5",Lifeismoney
"情報, tiss,卸妝油",Lifeismoney
"討論,總統府,憲兵,站哨,刺刀",Military
"情報, 2017,台北,航太展",Military
"新聞,量產版,沱江級,改用,傳統,煙囪,專家,影響",Military
"新聞,美國,飛彈,驅逐艦,撞船",Military
"新聞,中共,-20,遠程,轟炸機,有望,今年",Military
"討論,日本,為什麼,火砲,弱勢,發展,機砲",Military
"討論, 酸,一下,土共,殲20,對比,f35",Military
"新聞,内政部,82,年次,以前,役男,明年,轉服,替代役",Military
"新聞,美國,飛彈,驅逐艦,撞船",Military
"分享,遼寧號,前世,今生",Military
"新聞,美國,海軍,全球,暫停,行動,進行,安全,排查",Military
"新聞,内政部,82,年次,以前,役男,明年,轉服,替代役",Military
"新聞,防空,飛彈,指揮部,九月,正式,成軍",Military
"情報,緊急,那些,有力,人士,重視,台灣,汽車,產業",Military
"新聞,美國,飛彈,驅逐艦,撞船",Military
"新聞,美國,飛彈,驅逐艦,撞船",Military
"新聞, 9月,天馬,操演,一口氣,射擊,120,拖式,飛彈",Military
"新聞,第七,艦隊,司令,撤換",Military
"討論,天宮,一號,結果",Military
"提問,為什麼,使用,煙霧彈",Military
"閒聊,什麼,顯卡,下降,誘因",PC_Shopping
"菜單,  35,更換,電腦,遊戲機",PC_Shopping
"心得, windows, 11,測試版",PC_Shopping
"請益,機殼,風扇,還是",PC_Shopping
"情報, pny, cs3040, 2,tb, pcie, gen4, ssd $,4799",PC_Shopping
"情報,二手,礦卡,乾淨,礦工,強力,水柱",PC_Shopping
"請益, amd, 5900",PC_Shopping
"菜單, 30,升級,順跑,apex",PC_Shopping
"請益,] ,顯示卡,繼續",PC_Shopping
"菜單,40-55,k ,遊戲,影音機",PC_Shopping
"請益,] ,顯示卡,繼續",PC_Shopping
"心得,近期,華碩,顯卡,送修,經驗",PC_Shopping
"公告, invinciblek ,水桶,一百三十四日",PC_Shopping
"請益, 3080,ti vision, 3080, suprim, x ,抉擇",PC_Shopping
"情報, 3600,國外,悄然,回歸,改搭,zen3,核心,$4k",PC_Shopping
"菜單, itx ,模擬器",PC_Shopping
"情報,b650,曝光,七星,銀白,itx,黑色,風扇",PC_Shopping
"菜單, 30,左右,itx,影音,剪片",PC_Shopping
"菜單, 30k,輕遊戲文,書機,cst350,os",PC_Shopping
"請益,] ,顯示卡,繼續",PC_Shopping
"標的, 2330,台積電",Stock
"新聞,金管會,出手,救市,禁止,平盤,以下,放空",Stock
"心得,一下,正常,而且,央行,降息",Stock
"心得,兩光,散戶",Stock
"心得,懷念",Stock
"心得,倔強,改編,五月",Stock
"請益,台塑,1301",Stock
"標的,] ,台積電,2330,   ,大家,預言,低點",Stock
"心得,降息,賣點,買點,版友,告訴",Stock
"請益,台灣,經濟,開始,衰退",Stock
"請益,明天,金融股,跌停",Stock
"新聞,雨天,顧立雄,企業,貸款,本金,展延",Stock
"心得,禁空令,走勢",Stock
"請益,] ,平盤,以下,禁止,放空",Stock
"心得,下課",Stock
"心得,禁空令,走勢",Stock
"心得,七里香",Stock
"請益,  2889, 國,票金",Stock
"其他,修正,公告,公司,董事會,決議,通過,本公",Stock
"請益,有沒有,看到,禁空令,做空,多軍",Stock
"請益,] ,機械碩,畢業,出路",Tech_Job
"新聞,畢業,保證,面試,交大,台積電,半導體,半導體,研發,人才",Tech_Job
"問卷,主管,矛盾,領導,員工,組織,承諾,影響",Tech_Job
"請益,] ,機械碩,畢業,出路",Tech_Job
"新聞,武漢,肺炎,砍單,半導體,營運,悲觀",Tech_Job
"請益, offer,請益 ,公司,群聯",Tech_Job
"請益,] ,機械碩,畢業,出路",Tech_Job
"請益,] ,台積電,14,a or 12",Tech_Job
"討論,工程師,薪資,巔峰",Tech_Job
"新聞,宏達電,防疫,出招,虛擬,王雪紅,vr,粉墨登場",Tech_Job
"討論,中國,手機,怎麼,突飛猛進",Tech_Job
"討論,中國,手機,怎麼,突飛猛進",Tech_Job
"新聞, 2019年,全球,ic,銷售,市場,台灣,6%,第四",Tech_Job
"討論,人力,銀行,薪資,統計",Tech_Job
"新聞,疫情,延燒,科學園區,理事長,產業,裁員,減薪,薪假,續命",Tech_Job
"新聞,中國,紫光,集團,債務,危機,美元,計息,公司",Tech_Job
"請益,一直,升遷",Tech_Job
"問卷,加碼,餐卷,家庭,上班族,職場,行為,調查",Tech_Job
"請益,一直,升遷",Tech_Job
"新聞,鴻海, iphone,有望,上市",Tech_Job
